Americano L, 11
Americano M, 30
Americano S, 29
Cappuccino L, 15
Cappuccino M, 27
Cappuccino S, 38
Decaf L, 5
Decaf M, 78
Decaf S, 61
Extra Shot S, 230
Hot Chocolate M, 36
Iced Coffee L, 318
Iced Coffee M, 417
Iced Coffee S, 154
Iced Latte L, 23
Iced Latte M, 45
Iced Latte S, 20
Iced Macchiato L, 60
Iced Macchiato M, 65
Iced Macchiato S, 57
Iced Mocha L, 40
Iced Mocha M, 45
Iced Mocha S, 32
Latte L, 62
Latte M, 78
Latte S, 60
Macchiato L, 16
Macchiato M, 26
Macchiato S, 16
Mocha L, 34
Mocha M, 51
Mocha S, 34
